Comment,Designator,Footprint,LCSC,Quantity
5.1K,"R12,R13",R0603,C14677,2
10K,"R10,R11,R3,R5,R6,R7,R8,R9",R0603,C15401,8
100nF,"C2,C4",C0603,C1591,2
1uF,C3,C0603,C1592,1
100R,R4,R0603,C25201,1
22uF,C6,CAP-SMD_BD6.3-L6.6-W6.6-FD,C267472,1
TYPE-C 16PIN 2MD(073),USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,1
22uF,C1,C1210,C2918511,1
ESP32-S3-MINI-1U,U1,ESP32-S2-MINI-1U,C2980296,1
AMS1117-3.3,U2,SOT-223-3_TabPin2,C347222,1
TF PUSH,Card1,TF-SMD_TF-PUSH,C393941,1
SW_SPST,"SW1,SW2",SW-SMD_L3.9-W3.0-P4.45,C455280,2
10uF,C5,CAP-SMD_BD6.3-L6.6-W6.6-FD,C72482,1
Conn_01x02,J2,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x02,J1,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x08,J3,PinHeader_1x08_P2.54mm_Vertical,,1
