Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C1210,67.31,-58.76,180.0,top
C2,100nF,C0603,66.2,-55.55,180.0,top
C3,1uF,C0603,37.65,-72.1,180.0,top
C4,100nF,C0603,37.69,-74.29,0.0,top
C5,10uF,CAP-SMD_BD6.3-L6.6-W6.6-FD,68.12,-65.89,-90.0,top
C6,22uF,CAP-SMD_BD6.3-L6.6-W6.6-FD,60.5,-66.49,-90.0,top
Card1,TF PUSH,TF-SMD_TF-PUSH,33.92,-92.36,-90.0,top
J1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,30.925,-58.05,90.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,37.03,-62.755,180.0,top
J3,Conn_01x08,PinHeader_1x08_P2.54mm_Vertical,59.14,-95.7,-90.0,top
R10,10K,R0603,42.5375,-95.686666,180.0,top
R11,10K,R0603,42.5375,-97.795001,180.0,top
R12,5.1K,R0603,41.21,-56.18,90.0,top
R13,5.1K,R0603,53.21,-56.18,90.0,top
R3,10k,R0603,37.7,-76.66,0.0,top
R4,100R,R0603,59.4,-73.31,180.0,top
R5,10K,R0603,42.5375,-85.145001,180.0,top
R6,10K,R0603,42.5375,-87.253334,180.0,top
R7,10K,R0603,42.5375,-89.361667,180.0,top
R8,10K,R0603,42.5375,-91.47,180.0,top
R9,10K,R0603,42.5375,-93.578333,180.0,top
SW1,SW_SPST,SW-SMD_L3.9-W3.0-P4.45,34.02,-74.33,90.0,top
SW2,SW_SPST,SW-SMD_L3.9-W3.0-P4.45,63.82,-76.05,0.0,top
U1,ESP32-S3-MINI-1U,ESP32-S2-MINI-1U,48.1,-68.21,180.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,60.5375,-57.11,90.0,top
USB1,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,47.2,-56.3675,180.0,top
